question,intent,answer,language
මට දුර විනිශ්චය කිරීමට අපහසුයි,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මගේ කටට අමුතු රසයක් දැනෙනවා,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මට අසාමාන්‍ය සිතුවිලි පහළ වී ඇත,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
උෂ්ණත්ව වෙනස්වීම් වලට මට ඉතා සංවේදී බවක් දැනේ,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මට කාර්යයන් සැලසුම් කිරීම දුෂ්කර ය,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මගේ මුහුණ ගැහෙනවා වගේ මට දැනෙනවා,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
කිසිම හේතුවක් නොමැතිව මම භීතියේ කථාංග ඇති කර ඇත්තෙමි,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මගේ කකුල් බරයි වගේ,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මට අවකාශීය අවබෝධය සමඟ දුෂ්කරතා ඇත,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මගේ සිරුර පුරා අමුතුම හැඟීමක් ගමන් කරනවා,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මට මගේ සිතුවිලි සමුදාය නැති වී ඇත,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මගේ ඇසීම නරක අතට හැරෙමින් පවතින බව මට හැඟේ,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මට කාලය කළමනාකරණය කිරීම අපහසුයි,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මගේ හිස මත පීඩනයක් දැනෙනවා,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මට ෆ්ලෑෂ්බැක් තියෙනවා,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මගේ ප්‍රත්‍යාවර්තය මන්දගාමී බව මට දැනේ,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මම ස්වේච්ඡාවෙන් ඇස් චලනය කර ඇත,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මගේ හිසෙහි කම්පනයක් දැනේ,symptom,මෙම රෝග ලක්ෂණය ඔබේ මොළයේ ගෙඩියක් හෝ එහි ප්‍රතිකාරයට සම්බන්ධ විය හැක. කරුණාකර එය හොඳින් නිරීක්ෂණය කර එය නරක අතට හැරේ නම් හෝ අලුත් නම් ඔබේ වෛද්‍යවරයාට වාර්තා කරන්න. රෝග ලක්ෂණ හදිසියේ හෝ දරුණු වුවහොත් වහාම 1990 අමතන්න.,si
මගේ ඊළඟ පත්වීම කවදාද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මම මගේ වෛද්යවරයා සම්බන්ධ කර ගන්නේ කෙසේද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මගේ තත්වය සඳහා පුරෝකථනය කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මම හොඳ වෙයිද,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
කොහොමද මගේ පවුලේ අය මට සහයෝගය දක්වන්නේ,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මොළයේ පිළිකා රෝගීන් සඳහා කුමන ආධාරක කණ්ඩායම් තිබේද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මොළයේ ගෙඩියක් සමඟ මා කටයුතු කරන්නේ කෙසේද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මගේ රැකවරණයේ ඊළඟ පියවර කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මම කොපමණ කාලයක් රෝහලේ සිටිනවාද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මට නැවත වැඩට යා හැකිද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මට මොනවද තියෙන සීමා,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මට මගේ තත්වය අනුව රිය පැදවිය හැකිද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
ප්රතිකාර අතරතුර මට ගමන් කළ හැකිද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මට ආරක්ෂිතව කළ හැකි ක්‍රියාකාරකම් මොනවාද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මගේ පවුලේ අයට මගේ තත්වය පැහැදිලි කරන්නේ කෙසේද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
ජීවිතයේ රැකවරණයේ අවසානය කුමක්ද,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මගේ අසනීපය ගැන මම මගේ දරුවන්ට කතා කරන්නේ කෙසේද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
පිළිකා රෝගීන් සඳහා ලබා ගත හැකි මූල්‍ය ආධාර මොනවාද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මට මොළයේ ගෙඩියක් සමඟ ව්‍යායාම කළ හැකිද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
කුමන ආකාරයේ ව්යායාමයක් මට ආරක්ෂිතද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මම ආතතිය කළමනාකරණය කරන්නේ කෙසේද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
පිළිකා රෝගීන් සඳහා සිහිය යනු කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මා දැනගත යුතු නව ප්‍රතිකාර තිබේද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
පසු විපරම් හමුවීමක් ඇතුළත් වන්නේ කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
නිරීක්ෂණ MRI යනු කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මම කොපමණ වාරයක් MRI ස්කෑන් පරීක්ෂා කරනවාද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මගේ රැකවරණ කණ්ඩායමේ කාර්යභාරය කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
හදිසි නොවන ප්‍රශ්න සඳහා මා ඇමතිය යුත්තේ කාටද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මොළයේ ගෙඩියක් සඳහා දෙවන මතයක් ලබා ගන්නේ කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මම දෙවන මතයක් ලබා ගත යුතුද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මගේ පත්වීම සඳහා මම සූදානම් වන්නේ කෙසේද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මම මගේ වෛද්‍යවරයාගෙන් ඇසිය යුතු ප්‍රශ්න මොනවාද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
පිළිකා සත්කාර සම්බන්ධීකාරක යනු කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මම කොහොමද මගේ ශක්ති මට්ටම් කළමනාකරණය කරන්නේ,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මගේ රැකවරණයේ සමාජ සේවකයාගේ කාර්යභාරය කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
